15,15,about,better,clean,cut,done,drink,far,grow,hold,kind,laugh,long,shall,show,six,start,ten,together,warm
a,g,o,d,h,s,x,e,o,e,t,b,s,r,a
k,s,j,g,a,i,b,c,y,n,m,h,a,v,m
f,h,s,n,t,o,h,t,x,b,a,d,z,k,s
r,t,q,m,d,d,r,u,t,l,h,r,n,k,x
e,c,u,t,f,a,d,b,l,h,m,i,f,i,o
n,l,d,a,t,u,u,o,e,y,d,n,s,f,k
d,z,l,s,v,t,p,e,n,t,o,k,r,r,u
i,t,o,m,t,h,l,w,l,e,t,e,w,a,d
d,q,h,u,i,g,z,m,y,u,h,e,o,s,f
s,w,o,d,r,u,r,i,j,t,g,u,r,d,v
y,b,c,l,e,a,n,m,e,s,a,q,g,g,l
a,i,j,t,w,l,p,g,o,i,f,f,n,b,o
f,n,e,s,y,k,o,l,o,l,j,o,o,p,z
q,n,z,l,s,t,d,a,p,j,l,m,j,r,x
m,s,f,p,p,n,s,n,s,k,s,h,o,w,z
